Supplement or Pharmaceuticals,Rationale,,Dosage/Notes,Provider
Linorma (T3),"T3 is the active thyroid hormone. Hypothyroidism is typically treated with T4 only (levothyroxine) medication, as this is the primary thyroid hormone that is released from the gland itself, and lowers thyroid stimulating hormone (TSH) levels in the blood, which is used to diagnose hypothyroidism. However, T4 must be converted by other tissues (mainly the liver) into the active thyroid hormone T3, which is the hormone that facilitates increased metabolism. It is a lack of T3 properly reaching cells that is the true cause of hypothyroidism. Thus, supplementing with T3 can be advantageous to rapidly correct hypothyroidism.",,"Very small amounts (nibbles) can be tested, as they should have a rapid impact (within minutes / hours) on energy levels. Work with your primary advisor on potentially dosing.","ReliableRx

When ordering, a prescription or doctor is not necessary, simply pay and the product will arrive without submitting that information.

Delivery times may be several weeks. Consider implementing other recommendations listed in the meantime. Pausing your package and returning later, to not waste time, is also an option."
Progesterone,"Progesterone is a steroid that our body produces and has a range of unique protective effects for our health. Progesterone opposes the HPA axis and estrogen at several levels, inhibits mast cell activity, and is critical for brain growth and development. Progesterone has potent calming, anti-inflammatory, anxiolytic and anti-addiction effects.

When taken orally, most of the progesterone is converted to allopregnanolone, our body's primary inhibitory neurosteroid. It has profound calming effects by acting on the GABA system, and dampens the HPA axis response, lowering our systemic stress levels. Allopregnanolone also has striking anti-inflammatory and anti-serotonin effects in the gut. It also plays a key role in regenerating nerve and brain cells.",,"WOMEN: Progesterone can be used from days 14-27 of the cycle. Start with 4-6 drops daily (12-18 mg total). Apply this to the gums or sublingually (under the tongue) and allow it to be absorbed without swallowing it.

Allow 2-3 weeks at this dosage level before increasing or decreasing the dose. 

MEN: Start with 4-6 drops daily (12-18 mg total). Apply this to the gums or sublingually (under the tongue) and allow it to be absorbed without swallowing it.

Allow 2-3 weeks at this dosage level before increasing or decreasing the dose. 

Taken orally, progesterone can be dosed between 100-200 mg (33-66 drops or 1-2 mL). ","Health Natura, use code ""PRISM111"" at checkout for 20% off"
Tyromax,"Tyromax is a natural desiccated thyroid (NDT) product. NDT is a traditional way of treating hypothyroidism and increasing thyroid function. It is derived from thyroid gland of pigs, and contains the same hormones that our thyroid gland produces in the same proportions.",,"Desiccated thyroid can take 2-4 weeks to stabilize in terms of its effects. An improvement in key symptoms, energy levels, body temperature and pulse should be noticed within this time. If not, the dose can be increased. An example of this would be:

Week 1 & 2 – 3 drops with food. If desired outcome is not met, move to next step.
Week 3 & 4 – 7 drops with food. If desired outcome is not met, move to next step.
Week 5 & 6 – 10 drops with food. If desired outcome is not met, move to next step.
Week 7 & 8 – 14 drops with food. If desired outcome is not met, move to next step.

Ensure to track morning temperature as described during the take-home assessment. Once temperature reaches 97.8°F  or higher consistently, along with symptom improvement, the correct dosage is likely to have been found.",Idealabsdc
Tyromix,"Tyromix is a thyroid supplement with 2:1 T4/T3 ratio. A topical formulation bypasses gut absorption issues that often blunt the effect of oral NDT. Because it delivers mostly active T3 directly into circulation, it doesn’t rely on conversion from T4, which is often impaired in stress, inflammation, or nutrient deficiencies. This provides stable free T3 exposure to tissues and the pituitary, helping suppress TSH more effectively. In short, it sidesteps both absorption and conversion bottlenecks that keep TSH elevated despite high oral NDT.",,"Start with 4 drops topically on an area with thin skin, like the inside of the arms. Re-evaluate temperature and symptoms over the next 2-4 weeks before potentially increasing the dosage with the help of your primary advisor.",Idealabsdc
Grass Fed Beef Thyroid – Natural Desiccated Thyroid Supplement – NDT,"Natural desiccated thyroid is a traditional way of treating hypothyroidism and increasing thyroid function. It is derived from thyroid gland of cows, and contains the same hormones that our thyroid gland produces in the same proportions.",,"Desiccated thyroid can take 2-4 weeks to stabilize in terms of its effects. An improvement in key symptoms, energy levels, body temperature and pulse should be noticed within this time. If not, the dose can be increased. An example of this would be:

Week 1 & 2 – 1 level scoop daily (doses should be split) If desired outcome is not met, move to next step.
Week 3 & 4 – 2 level scoops daily (doses should be split) If desired outcome is not met, move to next step.
Week 5 & 6 – 3 level scoops daily (doses should be split) If desired outcome is not met, move to next step.
Week 7 & 8 – 4 level scoops daily (doses should be split) If desired outcome is not met, move to next step

Ensure to track morning temperature as described during the take-home assessment. Once temperature reaches 97.8°F  or higher consistently, along with symptom improvement, the correct dosage is likely to have been found.","LifeGivingStore, use code ""Optimize"" at checkout for 10% off"
Aloe Vera Juice,"This syrup is derived from the Aloe Vera plant, and has been shown to alleviate several digestive issues: reflux, heartburn, nausea, pain, and vomiting.",,"10 mL (1/3 fl oz, 2 tsp) 20-30min prior to meals",Aloe Secrets
Vitamin D3,"Vitamin D can lower HPA axis functioning, as well as other stress hormones such as parathyroid hormone and serotonin. Vitamin D has a multitude of antimicrobial effects, lowers serotonin in the gut, supports immunity, and helps to repair the gut barrier. It also plays a critical role in enhancing androgen production. Vitamin D supplementation has been shown to improve thyroid function by suppressing inappropriate immune attack on the thyroid gland and enhancing thyroid hormone conversion. Autoimmunity can arise from a lack of vitamin D as it acts to shift the balance of immune cells towards regulation and away from inflammation.",,"1 drop orally per day with food. Ideally, 25-Hydroxy Vitamin D levels are checked periodically to avoid over-supplementation.","Health Natura, use code ""PRISM111"" at checkout for 20% off"
Trace minerals,"This mix contains key trace minerals such as manganese, iodine, zinc, selenium and copper.

Zinc is critical for the structure of the gut, can reduce endotoxin and also has anti-inflammatory and pro-androgen effects. The immune system relies on zinc in order to mount appropriate responses and mitigate unnecessary inflammation. Zinc is needed for the proper formation and functioning of thyroid hormones. Zinc supplementation can also be used to alleviate fungal overgrowths and skin issues like acne, dry skin, eczema, and even hair loss. Deficiency of zinc can lead to susceptibility of heavy metal toxicity, since many metals exert their harmful effects by binding to zinc containing proteins. Supplementation can help to reverse it, in part by increasing their detoxification through the metallothionein protein. 
Copper is vital for the proper functioning of the mitochondria and has essential antioxidant properties. 
Selenium is an essential trace mineral that is required for biological processes involved in antioxidant defenses and thyroid hormone metabolism. Selenium also has some anti-estrogenic properties. Selenium, especially in combination with other minerals, can oppose the effects of and displace heavy metals.
Molybdenum is a trace mineral highly involved in the detoxification of sulfite, which can poison the mitochondria, leading to impaired energy production. 
Iodine is essential for the production of thyroid hormones.
Manganese is vital for antioxidant support and glucose metabolism.",,2 mL per day,Anderson
Zinc Gluconate,"Zinc is critical for the structure of the gut, can reduce endotoxin and also has anti-inflammatory and pro-androgen effects, in part by inhibiting the conversion of androgens to estrogens. The immune system relies on zinc in order to mount appropriate responses and mitigate unnecessary inflammation. Zinc is needed for the proper formation and functioning of thyroid hormones. Zinc supplementation can also be used to alleviate fungal overgrowths and skin issues like acne, dry skin, eczema, and even hair loss. Deficiency of zinc can lead to susceptibility of heavy metal toxicity, since many metals exert their harmful effects by binding to zinc containing proteins. Supplementation can help to reverse it, in part by increasing their detoxification through the metallothionein protein. ",,Take 250 mg (1/10 tsp) daily. Dissolve in liquid and consume throughout the day.,"PureBulk, use code ""PRISM"" at checkout for 10% off"
Potassium Chloride,Potassium is an essential mineral that helps regulate blood glucose and has key anti-stress effects. Potassium is especially important for the functioning of nerve tissue. ,,500mg (1/4 tsp) with each meal 3x daily,"PureBulk, use code ""PRISM"" at checkout for 10% off"
Bamboo silica,"Silicon is a naturally occurring mineral found in foods like fruits and vegetables. While considered non-essential, silicon is a part of the extracellular matrix structure that constitutes connective tissues. Silicon is able to up-regulate collagen synthesis by stimulating fibroblasts. In turn, oral silicon supplementation has shown benefits for improving the thickness and elasticity of the hair, skin and nails. Silicon also has the property of lowering tissue stores of aluminum by binding it and aiding its excretion.",,1/2 capsule daily,Pure Formulas
Sodium Butyrate,"Butyrate is the primary metabolic fuel of the cells in the colon. This gives it a few key actions. It lowers inflammation (including allergic), promotes tolerance of foods, stimulates gut mucus production, reduces gut permeability, improves motility and even favorably impacts the bacterial composition by reducing endotoxin. It has been shown to reduce symptoms in IBS, IBDs and diverticulitis such as diarrhea, pain, gas and bloating.",,"One capsule daily, without food. Can be increased to two capsules daily if no effect is seen.","BodyBio, use code ""PRISM111"" for 15% off."
Molybdenum,"Molybdenum is a trace mineral highly involved in the detoxification of sulfite, which can poison the mitochondria, leading to impaired energy production and numerous symptoms. Molybdenum has also been shown to protect against the toxicity of heavy metals, such as mercury and lead, by preventing their deposition in various tissues and mitigating oxidative stress. ",,10 drops daily,"LifeGivingStore, use code ""Optimize"" at checkout for 10% off"
ThiAssist,"ThiAssist is a blend of a few minerals that support the actions of Thiamine (vitamin B1). Magnesium is one of the fundamental anti-stress electrolytes that cells need to rest and relax properly. It is required to properly form energy in cells. Magnesium opposes several endogenous stress mediators, mainly the HPA axis and serotonin systems. It can also help properly hydrate the colon and produce more frequent and quality bowel movements. Selenium is an essential trace mineral that is required for biological processes involved in antioxidant defenses and thyroid hormone metabolism. Manganese is a trace mineral that, like Thiamine, is also highly involved in glucose metabolism and antioxidant support. Molybdenum is a trace mineral highly involved in the detoxification of sulfite, which can poison the mitochondria, leading to impaired energy production. Sufficient potassium intake helps regulate blood glucose and has key anti-stress effects.",,1 scoop daily,Objective Nutrients
Thiamax (TTFD),"TTFD is a highly bioavailable form of vitamin B1, a central nutrient in energy production. B1 is critical for various steps in the metabolic chain, and thus combats fatigue and enhances cellular energy production. B1 is very important for gut motility, as the signals in the gut's nervous system depend on vitamin B1 to be produced in adequate amounts. Higher doses of B1 also inhibit the degradation of carbon dioxide, which aids in tissue oxygen delivery, lowering inflammation and blood pressure. Thiamine also has a key role in the antioxidant system, which can help protect against conditions of oxidative damage.",,100 mg once daily,Objective Nutrients
Lidocaine,"Lidocaine is well known for its anesthetic properties, but it's therapeutic benefits for digestion extend beyond this. It has direct anti-inflammatory properties, reducing the response due to endotoxin. It also has an anti-serotonin property in the gut, and even prevents the degranulation of mast cells. Use of lidocaine has been shown to accelerate recovery from colonic injury.",,50-100 mg as needed during periods of gut irritation. Use a milligram scale. Using much more than this can result in undesirable side effects such as difficulty breathing or swallowing.,Carolina Chemical
Benfotiamine ,"Benfotiamine is a highly bioavailable form of vitamin B1, a central nutrient in energy production. B1 is critical for various steps in the metabolic chain, and thus combats fatigue and enhances cellular energy production. B1 is very important for gut motility, as the signals in the gut's nervous system depend on vitamin B1 to be produced in adequate amounts. Higher doses of B1 also inhibit the degradation of carbon dioxide, which aids in tissue oxygen delivery, lowering inflammation and blood pressure. Thiamine also has a key role in the antioxidant system, which can help protect against conditions of oxidative damage.",,1 capsule daily. Be sure to select capsules (not bags) and gel caps (not veg).,"PureBulk, use code ""PRISM"" at checkout for 10% off"
Riboflavin (Vitamin B2),"Vitamin B2 is a nutrient central to energy metabolism, especially the metabolism of fat. This is especially important in the gut, heart and muscles, since these organs rely heavily on fat metabolism to function properly. Riboflavin also assists in the interconversion and breakdown of neurotransmitters like dopamine and serotonin, and even plays a role in the excretion of estrogens. Riboflavin is critical to the antioxidant and methylation systems as well, both of which play huge roles in our overall health.",,1 capsule (100 mg) daily. Be sure to select capsules (not bags) and gel caps (not veg).                ,"PureBulk, use code ""PRISM"" at checkout for 10% off"
Niacinamide,"Niacinamide is a critical mediator of energy production, enhancing glucose metabolism and lowering lipids that can become elevated in stress. Niacinamide also has mild antimicrobial properties and can protect the gut lining from damage.",,"1/2 capsule (250 mg) daily, spread into 2-3 doses, ideally before meals. Be sure to select capsules (not bags) and gel caps (not veg).        ","PureBulk, use code ""PRISM"" at checkout for 10% off"
Niacin,"Niacin (vitamin B3) is a critical mediator of energy production, enhancing glucose metabolism and lowering lipids that can become elevated in stress. Niacin also has mild antimicrobial properties and can protect the gut lining from damage. Niacin in particular has been shown to treat low stomach acid, supporting digestive metabolism and acid production.",,"Start with 1/5 capsule (100 mg) daily, slowly increasing if needed up to 1,000 mg. If any side effects (itchiness / redness of skin) occur, lower the dosage. Be sure to select capsules (not bags) and gel caps (not veg).        ","PureBulk, use code ""PRISM"" at checkout for 10% off"
Vitamin K2 (MK-7),"Vitamin K2 has potent anti-stress, antidepressant and liver protective effects, stemming from its ability to enhance glucose metabolism in the mitochondria.",,2 drops per day with food. ,"Health Natura, use code ""PRISM111"" at checkout for 20% off"
Vitamin K2 (MK-4),"Vitamin K2 can reduce pathogenic bacteria and inflammation in the intestines while improving its structural integrity, improving many gut symptoms. It balances with vitamins A and D, and calcium, synergistically to aid in the formation of bone. Vitamin K2 also has pro-androgenic, anxiolytic and liver protective effects.",,"Start with 2 mg per meal, slowly increasing over time if no benefit is achieved at the low dose. There are no known safety risks for vitamin K2 even at doses of 45 mg per day used for years, so there is plenty of room to experiment and see what works best for a given individual.

MCT oil may be irritating to the digestion for some people, and the K2 can be taken on the skin if this is the case.","Health Natura, use code ""PRISM111"" at checkout for 20% off"
Dextrose,"Dextrose is pure glucose, serving as a very easily digestible, rapidly absorbable and usable energy source for the brain. The brain depends heavily on glucose for its metabolism, and thus dextrose treatment can help in ameliorating stress symptoms.",,20-30g (1-1.5 scoops) 3-4 times daily mixed in water or even mixed into rice.,Nutricost
Ginger tea,"Ginger is a widely used flowering plant with a wide range of medicinal properties. In particular, ginger exhibits antihistamine, mast cell stabilizing, and anti-serotonin properties. Due to this, it has demonstrated powerful positive effects on allergies, nausea and other gastrointestinal symptoms, and generally has a calming effect. Ginger also has some good antibacterial properties.",,Two teabags (3 grams dry root) daily.,Traditional Medicinals
Skullcap tea,"Skullcap tea is a traditional Chinese medicine used to treat allergies. It has antihistamine, mast cell stabilizing, and anti-inflammatory properties, preventing gut issues like diarrhea and pain, as well as allergenic symptoms. It can also aid in getting restful sleep.",,2 tsp steeped in hot water for 10 minutes after dinner.,Frontier Co-Op
Androsterone,"Androsterone is an endogenously occurring androgen, which bypasses the main synthesis route to dihydrotestosterone, our strongest androgen. It has androgenic effects, while also acting as an anxiolytic, anti-HPA axis, and pro-thyroid compound.",,5 drops taken sublingually.,Idealabsdc
Thiamine HCl,"Vitamin B1 is a central nutrient in energy production. B1 is critical for various steps in the metabolic chain, and thus combats fatigue and enhances cellular energy production. B1 is very important for gut motility, as the signals in the gut's nervous system depend on vitamin B1 to be produced in adequate amounts. Higher doses of B1 also inhibit the degradation of carbon dioxide, which aids in tissue oxygen delivery, lowering inflammation and blood pressure. Thiamine also has a key role in the antioxidant system, which can help protect against conditions of oxidative damage.",,1 capsule (100 mg) daily. Be sure to select capsules (not bags) and gel caps (not veg).,"PureBulk, use code ""PRISM"" at checkout for 10% off"
Zinc Carnosine,"Zinc is critical for the structure of the gut, can reduce endotoxin and also has anti-inflammatory and pro-androgen effects, in part by inhibiting the conversion of androgens to estrogens. Zinc is needed for the proper formation and functioning of thyroid hormones. Zinc supplementation can also be used to alleviate fungal overgrowths and skin issues like acne, dry skin and eczema. Carnosine is known to have antioxidant and regenerative effects on several tissues, and particularly in the gut has an affinity to heal damaged tissue and even have antibacterial effects. Zinc carnosine has been shown to improve intestinal permeability and accelerate the healing of various parts of the digestive tract.",,1 capsule per day with the biggest meal,Pure Encapsulations
Rhodiola Rosea,"Rhodiola is an herb used to ameliorate stress and fatigue. It has been shown to rapidly improve symptoms like anxiety, exhaustion, loss of concentration, irritability, and anhedonia. The herb has key antioxidant, anti-inflammatory, and cholinergic properties.",,One serving daily.,Thorne
Calcium Carbonate,"Calcium in the diet may be lacking. Calcium, along with vitamin D, is critical for regulating parathyroid hormone levels, a stress hormone that can induce inflammation, suppress the rate of metabolism, and contribute to gastrointestinal distress. Calcium intake is often insufficient in people dealing with inflammatory conditions, and these conditions, such as allergies, can be ameliorated by calcium.",,Take 1250 mg (level unpacked 1/4 tsp) up to twice daily ,"PureBulk, use code ""PRISM"" at checkout for 10% off"
Magnesium bicarbonate,"Magnesium is one of the fundamental anti-stress electrolytes that cells need to rest and relax properly. Magnesium opposes several endogenous stress mediators, mainly the HPA axis and serotonin systems. It can also help properly hydrate the colon and produce more frequent and quality bowel movements. Magnesium deficiency can actually manifest as a vitamin D deficiency, since it is required for the activation, metabolism and transport of vitamin D precursors. The bicarbonate form is dissolved in liquid, is well absorbed and acts quickly.",,Divide your daily amount into several servings. Consume straight or dilute 1-2 tsp solution with 16 oz water (mountain milk). Drinking 1-2 oz before bedtime may aid with heartburn. ,PristineHydro
Magnesium Glycinate,"Magnesium is one of the fundamental anti-stress electrolytes that cells need to rest and relax properly. Magnesium opposes several endogenous stress mediators, mainly the HPA axis and serotonin systems, resulting in it improving subjective stress and anxiety. It can also help properly hydrate the colon and produce more frequent and quality bowel movements. Magnesium deficiency can actually manifest as a vitamin D deficiency, since it is required for the activation, metabolism and transport of vitamin D precursors. The glycinate form is generally the best absorbed and tolerated.",,"It is best to start with a small dose (one scoop) and work your way up slowly to see what dose works for you. In excess, it can lead to loose stools or outright diarrhea, but at the right dose it should have the desired effect with no side effects. Dividing it into multiple smaller doses can also help with these potential issues. ",Nutricost
Parasym Plus,"This product contains multiple products which should help to support the production of acetylcholine, the primary neurotransmitter of the vagus nerve’s parasympathetic activity, which controls gut motility. Vitamin B1 is a central nutrient in energy production. B1 is critical for various steps in the metabolic chain, and thus combats fatigue and enhances cellular energy production. B1 in particular is very important for gut motility, as the signals in the gut's nervous system depend on vitamin B1 to be produced in adequate amounts. Alpha GPC is a highly bioavailable choline precursor nutrient, which then serves to increase acetylcholine production. Acetyl-L-Carnitine is a nutrient that assists in the metabolism of fat, providing substrate to create acetylcholine, while Huperzine is an herb which prevents the degradation of acetylcholine.",,2 capsules daily,TJ Nutrition
Transdermal magnesium,Magnesium absorption in the intestines is limited and overdoing it can result in diarrhea or loose stools. Adding in a source of topically applied magnesium is a good way to safely get in extra magnesium.,,"20 minutes of a magnesium chloride foot bath daily (56 grams of magnesium chloride per 100 mL water) should replete cellular magnesium levels within weeks. Alternatively, magnesium oil (linked) can be used. Start with 6 sprays on an area of the body with a large surface area. The dose can be increased as much as is tolerated.",Ancient Minerals or local (magnesium chloride is common at grocery and related stores)
Vitamin E,"Vitamin E is a nutrient with key antioxidant, anti-inflammatory and anti-estrogenic properties. It has been shown to inhibit the conversion of androgens to estrogens, as well as blocking estrogen signaling directly. Vitamin E also inhibits mast cell degranulation, and can repair the intestinal lining. Additionally, vitamin E has the unique capability of balancing iron levels, during the toxic accumulation of iron within cells while improving anemia.",,"One dropper (1 mL) daily, orally","Health Natura, use code ""PRISM111"" at checkout for 20% off"
Agmatine Sulfate,"Agmatine is an endogenously occurring molecule that serves key functions as an anti-inflammatory, antioxidant and anti-stress substance. Agmatine acts in part by blunting the production of nitric oxide, which can contribute to disrupted mitochondrial function, inflammation and tissue damage, especially in the nervous system. Agmatine acts as an antagonist to the NMDA receptors in the brain that can result in excess excitation. It can also increase brain derived neurotrophic factor (BDNF), the primary protein involved in brain cell growth and proliferation. These actions give agmatine rapid mood enhancing & antidepressant activity.",,600 mg (1/4 tsp),"PureBulk, use code ""PRISM"" at checkout for 10% off"
Activated Charcoal,"Various environmental toxins and hormones get excreted in feces but can be reabsorbed through the intestines and re-enter circulation, causing systemic issues. Activated charcoal can bind these components for more efficient elimination. Charcoal also absorbs and reduces endotoxin, can reduce inflammation, and help repair the gut barrier.",,"Take 500mg once daily at least 2 hours away from food, since it can bind minerals and prevent their absorption as well. It is important to be mindful of the fact that charcoal can contribute to constipation in excess, so if this occurs then discontinue or lower the dosage.",Bulletproof
Magnesium Malate,"Magnesium is one of the fundamental anti-stress electrolytes that cells need to rest and relax properly. Magnesium opposes several endogenous stress mediators, mainly the HPA axis and serotonin systems. It can also help properly hydrate the colon and produce more frequent and quality bowel movements. The malate form is particularly useful in the removal of metals such as aluminum.",,One scoop per day,"PureBulk, use code ""PRISM"" at checkout for 10% off"
L-Lysine,"Lysine is a naturally occurring amino acid. It has been shown to oppose the effects of serotonin on the gut: lowering inflammation, intestinal sensitivity, stress and improving diarrhea.",,Start with 1 capsule (600 mg) daily. The dose can be increased up to 3 capsules if no effect is felt. Be sure to select capsules (not bags) and gel caps (not veg).,"PureBulk, use code ""PRISM"" at checkout for 10% off"
L-Glutamine,"Glutamine becomes depleted during times of stress, and is an essential fuel for the intestines. Glutamine supplementation has been shown to reduce symptoms like abdominal pain and distention through improving intestinal permeability, reducing inflammation, providing energy substrate and bolstering immunity.",,"5 grams (1 scoop) dissolved in a liquid, 3 times daily, for at least 8 weeks. ",Nutricost
Bloo,"Bloo is a mixture of several components that have been shown to bolster the health of the scalp and even stimulate hair growth. These include taurine, caffeine, niacinamide and caffeine.",,"Mix a scoop or tablespoon of Bloo with warm water in a mug or cup. Pour the Bloo solution over your scalp in the shower, then massage into your scalp and let sit for 5-10 minutes. Rinse Bloo and shampoo if desired. This is typically done every 2-3 days, but some people use it everyday. Start with twice a week to see how well Bloo helps your symptoms, then use more frequently if needed.",Bloo
Flowers of sulfur,"Flowers of sulfur is a form of elemental sulfur. Sulfur has powerful antifungal properties, and has been shown to be effective in aiding in some fungal infections.",,1 pinch per day for 3-4 days.,Humco
L-Theanine,"L-Theanine is an amino acid that naturally occurs in green tea. It counteracts the excitatory effects of certain neurotransmitters on the brain. Consequently, theanine has been shown to have anxiolytic, anti-depressant, anti-stress and sleep enhancing effects.",,1/2 capsule (250 mg) daily. Be sure to select capsules (not bags) and gel caps (not veg).,"PureBulk, use code ""PRISM"" at checkout for 10% off"
Cascara Sagrada,"Cascara Sagrada is a bark derived from a plant shrub. Its extract has a number of key protective properties for the gut. It reverses inflammation and gut barrier dysfunction driven by endotoxin or other damaging factors, improves gut antioxidant status, acts as a mild laxative, and has anti-inflammatory as well as antibacterial effects.",,"100mg (Approximately one level .15cc white scoop) before bed should provide a noticeable laxative effect. The dose can be increased by one scoop increments up to 1,000 mg until the desired effect is seen. When too much is taken, stools can become irregularly formed.","LifeGivingStore, use code ""Optimize"" at checkout for 10% off"
Histamine Digest,"This supplement contains porcine kidney extract, which has the bioactive enzyme diamine oxidase in it. This enzyme is critical in the gut for breaking down histamine, preventing its over accumulation which can cause numerous gut and systemic symptoms.",,1 capsule in the morning and then anytime histamine symptoms arise,Ruscio Institute
L-Carnosine,"Carnosine is a dipeptide that occurs naturally in animal foods. It has a calming effect on the nervous system, promoting the parasympathetic ""rest and digest"" system responsible for proper gut motility, while lowering the sympathetic ""fight or flight"" system. Carnosine has also shown the capacity to prevent mast cell degranulation. ",,"1 gram (1/2 tsp) per day, can be increased to 2 grams (1 tsp) if no benefit is experienced at the lower dose.","PureBulk, use code ""PRISM"" at checkout for 10% off"
Mastic Gum,"This gum is derived from the resin of the mastic tree, and has antimicrobial, anti-inflammatory and pro-motility effects on the GI tract. It also has a myriad of benefits for dental health.",,"Place a few drops in the mouth at once, waiting for them to soften, and chew to form one piece of gum. This newly formed piece can be chewed for multiple hours, and can be re-chewed if the user wants to remove it from the mouth for a period of time. There are no known side effects or risks associated with chewing mastic gum, so it is ideally chewed as much as the client wants or benefits from, but should be done for at least 30-45 minutes at a time for benefit.","Greco Gum, use code “OPTIMIZE” at checkout for free shipping"
Inositol,"Inositol is an endogenously occurring compound that also occurs on some foods. When taken as a supplement, it has been shown to help regulate the menstrual cycle and even reduce excess androgen production in women. ",,,
Lactobacillus plantarum,"Lactobacillus plantarum is a bacterium that can degrade histamine, which can lead to skin, allergenic, and digestive issues by stimulating the immune system and serotonin release.",,1 capsule per day,SuperSmart
B-Complex Plus,"B vitamins are critical to various aspects of metabolism. 

Vitamin B1 (thiamine HCl) is a central nutrient in energy production. B1 is critical for various steps in the metabolic chain, and thus combats fatigue and enhances cellular energy production. B1 is very important for gut motility, as the signals in the gut's nervous system depend on vitamin B1 to be produced in adequate amounts. Higher doses of B1 also inhibit the degradation of carbon dioxide, which aids in tissue oxygen delivery, lowering inflammation and blood pressure. Thiamine also has a key role in the antioxidant system, which can help protect against conditions of oxidative damage.

Vitamin B2 (riboflavin) is a nutrient central to energy metabolism, especially the metabolism of fat. This is especially important in the gut, since it relies heavily on fat metabolism to function properly. Riboflavin also assists in the interconversion and breakdown of neurotransmitters like dopamine and serotonin, and even plays a role in the excretion of estrogens. Riboflavin is critical to the antioxidant and methylation systems as well, both of which play huge roles in our overall health.

Vitamin B3 (niacinamide) is a critical mediator of energy production, enhancing glucose metabolism and lowering lipids that can become elevated in stress. Niacinamide also has mild antimicrobial properties and can protect the gut lining from damage.

Vitamin B6 (pyridoxal phosphate) is a nutrient central to several aspects of energy production. B6 is also critical for forming neurotransmitters like dopamine, and for supporting the methylation process.

Vitamin B9 (L-5-MTHF) is the most biologically active form of the vitamin. It can support methylation in tandem with B12, which will maximize the efficiency of supplemental niacinamide and help many other processes, such as DNA synthesis, hormone conversion, and homocysteine regulation. 

Vitamin B12 (Methylcobalamin) is a form of the vitamin which most supports the process of methylation. 

This blend should provide a noticeable benefit to energy levels.",,"1 capsule per day in the morning, can be increased to 2 per day if no effect is felt.",Pure Encapsulations
Liquid B Complex,"B vitamins are critical to various aspects of metabolism. 

Vitamin B1 (thiamine HCl) is a central nutrient in energy production. B1 is critical for various steps in the metabolic chain, and thus combats fatigue and enhances cellular energy production. B1 in particular is very important for gut motility, as the signals in the gut's nervous system depend on vitamin B1 to be produced in adequate amounts. 

Vitamin B2 (riboflavin) is a nutrient central to energy metabolism, especially the metabolism of fat. This is especially important in the gut, since it relies heavily on fat metabolism to function properly. Riboflavin also assists in the interconversion and breakdown of neurotransmitters like dopamine and serotonin, and even plays a role in the excretion of estrogens. Riboflavin is critical to the antioxidant and methylation systems as well, both of which play huge roles in our overall health. 

Vitamin B3 (niacinamide) is a critical mediator of energy production, enhancing glucose metabolism and lowering lipids that can become elevated in stress. Niacinamide also has mild antimicrobial properties and can protect the gut lining from damage. 

Vitamin B6 (pyridoxal phosphate) is a nutrient central to several aspects of energy production. B6 is also critical for forming neurotransmitters like dopamine, and for supporting the methylation process. 

Vitamin B12 (Methylcobalamin) is a form of the vitamin which most supports the process of methylation. This blend should provide a noticeable benefit to energy levels.",,,Pure Encapsulations
Energi+ (need to update references),"B vitamins are critical to various aspects of metabolism. 

Vitamin B1 (thiamine) B1 is critical for various steps in the metabolic chain, and thus combats fatigue and enhances cellular energy production. B1 is very important for gut motility, as the signals in the gut's nervous system depend on vitamin B1 to be produced in adequate amounts. Higher doses of B1 also inhibit the degradation of carbon dioxide, which aids in tissue oxygen delivery, lowering inflammation and blood pressure. Thiamine also has a key role in the antioxidant system, which can help protect against conditions of oxidative damage.

Vitamin B2 (riboflavin) is a nutrient central to energy metabolism, especially the metabolism of fat. This is especially important in the gut, since it relies heavily on fat metabolism to function properly. Riboflavin also assists in the interconversion and breakdown of neurotransmitters like dopamine and serotonin, and even plays a role in the excretion of estrogens. Riboflavin is critical to the antioxidant and methylation systems as well, both of which play huge roles in our overall health.

Vitamin B3 (niacinamide) is a critical mediator of energy production, enhancing glucose metabolism and lowering lipids that can become elevated in stress. Niacinamide also has mild antimicrobial properties and can protect the gut lining from damage.

Vitamin B6 (pyridoxal phosphate) is a nutrient central to several aspects of energy production. B6 is also critical for forming neurotransmitters like dopamine, and for supporting the methylation process.

Vitamin B9 (L-5-MTHF) is the most biologically active form of the vitamin. It can support methylation in tandem with B12, which will maximize the efficiency of supplemental Niacinamide and help many other processes, such as DNA synthesis, hormone conversion, and homocysteine regulation. 

Vitamin B12 (Adenosylcobalamin) used directly in the mitochondria to create energy. This makes Adenosylcobalamin the best choice for taking a B12 supplement that will be easily absorbed by the body and assist in the energy production process as best possible. 

This blend should provide a noticeable benefit to energy levels.",,"1 capsule per day in the morning, can be increased to 2 per day if no effect is felt.",LifeBlud
